Timestamp,Vehicle_Type,Confidence,Image_File
2026-04-23 21:22:20,car,78.40%,violation_20260423_212220.jpg
2026-04-23 21:22:20,car,78.42%,violation_20260423_212220.jpg
2026-04-23 21:22:26,car,77.32%,violation_20260423_212226.jpg
2026-04-23 21:22:26,car,75.43%,violation_20260423_212226.jpg
2026-04-23 21:22:27,car,75.19%,violation_20260423_212227.jpg
2026-04-23 21:22:28,car,85.17%,violation_20260423_212228.jpg
2026-04-23 21:22:28,car,85.23%,violation_20260423_212228.jpg
2026-04-23 21:22:28,car,85.31%,violation_20260423_212228.jpg
2026-04-23 21:22:28,car,85.38%,violation_20260423_212228.jpg
2026-04-23 21:22:29,car,85.61%,violation_20260423_212229.jpg
2026-04-23 21:22:29,car,80.91%,violation_20260423_212229.jpg
2026-04-24 14:38:49,car,78.20%,violation_20260424_143849.jpg
2026-04-24 14:38:50,car,78.59%,violation_20260424_143850.jpg
2026-04-24 14:38:50,car,78.84%,violation_20260424_143850.jpg
2026-04-24 14:38:50,car,75.76%,violation_20260424_143850.jpg
2026-04-24 14:38:50,car,76.15%,violation_20260424_143850.jpg
2026-04-24 14:38:51,car,76.37%,violation_20260424_143851.jpg
2026-04-24 14:38:51,car,86.91%,violation_20260424_143851.jpg
2026-04-24 14:38:51,car,87.08%,violation_20260424_143851.jpg
2026-04-24 14:38:51,car,83.44%,violation_20260424_143851.jpg
2026-04-24 14:38:52,car,82.88%,violation_20260424_143852.jpg
2026-04-24 14:38:52,car,83.21%,violation_20260424_143852.jpg
2026-04-24 14:38:53,car,78.12%,violation_20260424_143853.jpg
2026-04-24 14:38:53,car,78.40%,violation_20260424_143853.jpg
2026-04-24 14:38:54,car,78.42%,violation_20260424_143854.jpg
2026-04-24 14:39:00,car,77.32%,violation_20260424_143900.jpg
2026-04-24 14:39:00,car,75.43%,violation_20260424_143900.jpg
2026-04-24 14:39:00,car,75.19%,violation_20260424_143900.jpg
2026-04-24 14:39:01,car,85.17%,violation_20260424_143901.jpg
2026-04-24 14:39:01,car,85.23%,violation_20260424_143901.jpg
2026-04-24 14:39:01,car,85.31%,violation_20260424_143901.jpg
2026-04-24 14:39:02,car,85.38%,violation_20260424_143902.jpg
2026-04-24 14:39:02,car,85.61%,violation_20260424_143902.jpg
2026-04-24 14:39:02,car,80.91%,violation_20260424_143902.jpg
2026-04-27 16:08:37,car,78.20%,violation_20260427_160837.jpg
2026-04-27 16:08:37,car,78.59%,violation_20260427_160837.jpg
2026-04-27 16:08:38,car,78.84%,violation_20260427_160838.jpg
2026-04-27 16:08:38,car,75.76%,violation_20260427_160838.jpg
2026-04-27 16:08:39,car,76.15%,violation_20260427_160839.jpg
2026-04-27 16:08:39,car,76.37%,violation_20260427_160839.jpg
2026-04-27 16:08:39,car,86.91%,violation_20260427_160839.jpg
2026-04-27 16:08:40,car,87.08%,violation_20260427_160840.jpg
2026-04-27 16:08:40,car,83.44%,violation_20260427_160840.jpg
2026-04-27 16:08:40,car,82.88%,violation_20260427_160840.jpg
2026-04-27 16:08:41,car,83.21%,violation_20260427_160841.jpg
2026-04-27 16:08:42,car,78.12%,violation_20260427_160842.jpg
2026-04-27 16:08:42,car,78.40%,violation_20260427_160842.jpg
2026-04-27 16:08:43,car,78.42%,violation_20260427_160843.jpg
2026-04-27 16:08:54,car,77.32%,violation_20260427_160854.jpg
2026-04-27 16:08:55,car,75.43%,violation_20260427_160855.jpg
2026-04-27 16:08:55,car,75.19%,violation_20260427_160855.jpg
2026-04-27 16:08:56,car,85.17%,violation_20260427_160856.jpg
2026-04-27 16:08:57,car,85.23%,violation_20260427_160857.jpg
2026-04-27 16:08:57,car,85.31%,violation_20260427_160857.jpg
2026-04-27 16:08:57,car,85.38%,violation_20260427_160857.jpg
2026-04-27 16:08:58,car,85.61%,violation_20260427_160858.jpg
2026-04-27 16:08:58,car,80.91%,violation_20260427_160858.jpg
